device_type,os_version_key,name,typed_value
Mac,"(14, 0)",supports-rem,
Mac,"(14, 0)",supports-sa-v1,
Mac,"(14, 0)",supports-screen-time-v2,
Mac,"(14, 0)",supports-secure-loc-v1,
Mac,"(14, 0)",supports-self-one-to-one-invites,
Mac,"(14, 0)",supports-shared-exp,
Mac,"(14, 0)",supports-sos-alerting,
Mac,"(14, 0)",supports-st-er,
Mac,"(14, 0)",supports-st-v1,
Mac,"(14, 0)",supports-sticker-editing,
Mac,"(14, 0)",supports-update-attachments-v1,
Mac,"(14, 0)",supports-uwb,False
Mac,"(14, 0)",supports-zelkova,False
Mac,"(14, 3)",device-key-signature,
Mac,"(14, 3)",ec-version,1.0
Mac,"(14, 3)",is-c2k-equipment,False
Mac,"(14, 3)",is-green-tea,
Mac,"(14, 3)",is-web-client,
Mac,"(14, 3)",kt-version,5.0
Mac,"(14, 3)",nicknames-version,
Mac,"(14, 3)",optionally-receive-typing-indicators,
Mac,"(14, 3)",prefers-sdr,
Mac,"(14, 3)",show-peer-errors,
Mac,"(14, 3)",supports-ack-v1,
Mac,"(14, 3)",supports-animoji-v2,True
Mac,"(14, 3)",supports-askto,
Mac,"(14, 3)",supports-audio-messaging-v2,
Mac,"(14, 3)",supports-autoloopvideo-v1,
Mac,"(14, 3)",supports-avless,
Mac,"(14, 3)",supports-be-v1,
Mac,"(14, 3)",supports-beacon-sharing-v2,
Mac,"(14, 3)",supports-beacon-sharing-v3,
Mac,"(14, 3)",supports-beneficiary-invites,
Mac,"(14, 3)",supports-ca-v1,
Mac,"(14, 3)",supports-certified-delivery-v1,
Mac,"(14, 3)",supports-co,
Mac,"(14, 3)",supports-cross-platform-sharing,
Mac,"(14, 3)",supports-dq-nr,
Mac,"(14, 3)",supports-emoji-stickers,
Mac,"(14, 3)",supports-family-invite-message-bubble,
Mac,"(14, 3)",supports-findmy-plugin-messages,
Mac,"(14, 3)",supports-fm-fence-v1,
Mac,"(14, 3)",supports-fmd-v2,
Mac,"(14, 3)",supports-fsm-v1,
Mac,"(14, 3)",supports-fsm-v2,
Mac,"(14, 3)",supports-fsm-v3,
Mac,"(14, 3)",supports-gft-calls,
Mac,"(14, 3)",supports-gft-errors,
Mac,"(14, 3)",supports-gft-relay,
Mac,"(14, 3)",supports-harmony,False
Mac,"(14, 3)",supports-hdr,True
Mac,"(14, 3)",supports-heif,True
Mac,"(14, 3)",supports-hi-res-vid,
Mac,"(14, 3)",supports-hk-resident,
Mac,"(14, 3)",supports-hybrid-groups-v1,
Mac,"(14, 3)",supports-ii-v1,
Mac,"(14, 3)",supports-impact-v1,
Mac,"(14, 3)",supports-incoming-fmd-v1,
Mac,"(14, 3)",supports-inline-attachments,
Mac,"(14, 3)",supports-keep-receipts,
Mac,"(14, 3)",supports-key-sharing,
Mac,"(14, 3)",supports-live-delivery,
Mac,"(14, 3)",supports-location-sharing,
Mac,"(14, 3)",supports-maps-protocol-v5,
Mac,"(14, 3)",supports-maps-routing-path-leg,
Mac,"(14, 3)",supports-maps-waypoint-route-sharing,
Mac,"(14, 3)",supports-media-v2,
Mac,"(14, 3)",supports-mirage,
Mac,"(14, 3)",supports-modern-gft,
Mac,"(14, 3)",supports-original-timestamp-v1,
Mac,"(14, 3)",supports-people-ranging-v1,
Mac,"(14, 3)",supports-people-request-messages,
Mac,"(14, 3)",supports-people-request-messages-v2,
Mac,"(14, 3)",supports-people-request-messages-v3,
Mac,"(14, 3)",supports-photos-extension-v1,
Mac,"(14, 3)",supports-photos-extension-v2,
Mac,"(14, 3)",supports-protobuf-payload-data-v2,
Mac,"(14, 3)",supports-recurring-payment-bubbles,
Mac,"(14, 3)",supports-rem,
Mac,"(14, 3)",supports-sa-v1,
Mac,"(14, 3)",supports-screen-time-v2,
Mac,"(14, 3)",supports-secure-loc-v1,
Mac,"(14, 3)",supports-self-one-to-one-invites,
Mac,"(14, 3)",supports-shared-exp,
Mac,"(14, 3)",supports-sos-alerting,
Mac,"(14, 3)",supports-st-er,
Mac,"(14, 3)",supports-st-v1,
Mac,"(14, 3)",supports-sticker-editing,
Mac,"(14, 3)",supports-update-attachments-v1,
Mac,"(14, 3)",supports-uwb,False
Mac,"(14, 3)",supports-zelkova,False
Mac,"(14, 4)",device-key-signature,
Mac,"(14, 4)",ec-version,1.0
Mac,"(14, 4)",is-c2k-equipment,False
Mac,"(14, 4)",is-green-tea,
Mac,"(14, 4)",is-web-client,
Mac,"(14, 4)",kt-version,5.0
Mac,"(14, 4)",nicknames-version,
Mac,"(14, 4)",optionally-receive-typing-indicators,
Mac,"(14, 4)",prefers-sdr,
Mac,"(14, 4)",show-peer-errors,
Mac,"(14, 4)",supports-ack-v1,
Mac,"(14, 4)",supports-animoji-v2,True
Mac,"(14, 4)",supports-askto,
Mac,"(14, 4)",supports-audio-messaging-v2,
Mac,"(14, 4)",supports-autoloopvideo-v1,
Mac,"(14, 4)",supports-avless,
Mac,"(14, 4)",supports-be-v1,
Mac,"(14, 4)",supports-beacon-sharing-v2,
Mac,"(14, 4)",supports-beacon-sharing-v3,
Mac,"(14, 4)",supports-beneficiary-invites,
Mac,"(14, 4)",supports-ca-v1,
Mac,"(14, 4)",supports-certified-delivery-v1,
Mac,"(14, 4)",supports-co,
Mac,"(14, 4)",supports-cross-platform-sharing,
Mac,"(14, 4)",supports-dq-nr,
Mac,"(14, 4)",supports-emoji-stickers,
Mac,"(14, 4)",supports-family-invite-message-bubble,
Mac,"(14, 4)",supports-findmy-plugin-messages,
Mac,"(14, 4)",supports-fm-fence-v1,
Mac,"(14, 4)",supports-fmd-v2,
Mac,"(14, 4)",supports-fsm-v1,
Mac,"(14, 4)",supports-fsm-v2,
Mac,"(14, 4)",supports-fsm-v3,
