,device_type,name,first_os_version,first_os_version_key,last_os_version,last_os_version_key
105,Mac,supports-sos-alerting,14.0,"(14, 0)",26.3,"(26, 3)"
106,Mac,supports-ssrc,15.0,"(15, 0)",26.3,"(26, 3)"
107,Mac,supports-st-er,13.0,"(13, 0)",26.3,"(26, 3)"
108,Mac,supports-st-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
109,Mac,supports-stewie,15.0,"(15, 0)",26.3,"(26, 3)"
110,Mac,supports-stick-moji-backs,15.0,"(15, 0)",26.3,"(26, 3)"
111,Mac,supports-sticker-editing,14.0,"(14, 0)",26.3,"(26, 3)"
112,Mac,supports-transcript-backgrounds,26.0,"(26, 0)",26.3,"(26, 3)"
113,Mac,supports-update-attachments-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
114,Mac,supports-uriless-membership-updates,26.0,"(26, 0)",26.3,"(26, 3)"
115,Mac,supports-user-driven-call-activation,15.4,"(15, 4)",26.3,"(26, 3)"
116,Mac,supports-uwb,12.0.1,"(12, 0, 1)",26.3,"(26, 3)"
117,Mac,supports-zelkova,14.0,"(14, 0)",26.3,"(26, 3)"
118,VisionPro,device-key-signature,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
119,VisionPro,ec-version,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
120,VisionPro,is-c2k-equipment,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
121,VisionPro,is-green-tea,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
122,VisionPro,is-web-client,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
123,VisionPro,kt-version,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
124,VisionPro,nicknames-version,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
125,VisionPro,optionally-receive-typing-indicators,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
126,VisionPro,prefers-sdr,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
127,VisionPro,sender-key-message-version,2.0,"(2, 0)",26.3,"(26, 3)"
128,VisionPro,show-peer-errors,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
129,VisionPro,supports-ack-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
130,VisionPro,supports-activity-sharing-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
131,VisionPro,supports-adaptive-temperature-automations,26.0,"(26, 0)",26.3,"(26, 3)"
132,VisionPro,supports-animoji-v2,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
133,VisionPro,supports-askto,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
134,VisionPro,supports-askto-responseUI,26.3,"(26, 3)",26.3,"(26, 3)"
135,VisionPro,supports-askto-v2,26.0,"(26, 0)",26.3,"(26, 3)"
136,VisionPro,supports-audio-messaging-v2,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
137,VisionPro,supports-autoloopvideo-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
138,VisionPro,supports-avless,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
139,VisionPro,supports-be-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
140,VisionPro,supports-beacon-sharing-v2,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
141,VisionPro,supports-beacon-sharing-v3,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
142,VisionPro,supports-beneficiary-invites,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
143,VisionPro,supports-ca-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
144,VisionPro,supports-calls-25,26.0,"(26, 0)",26.3,"(26, 3)"
145,VisionPro,supports-certified-delivery-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
146,VisionPro,supports-ckv-enforcement,26.0,"(26, 0)",26.3,"(26, 3)"
147,VisionPro,supports-co,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
148,VisionPro,supports-cross-platform-sharing,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
149,VisionPro,supports-dq-nr,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
150,VisionPro,supports-emoji-images,2.0,"(2, 0)",26.3,"(26, 3)"
151,VisionPro,supports-emoji-stickers,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
152,VisionPro,supports-emoji-tapbacks,2.0,"(2, 0)",26.3,"(26, 3)"
153,VisionPro,supports-family-invite-message-bubble,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
154,VisionPro,supports-findmy-plugin-messages,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
155,VisionPro,supports-fm-fence-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
156,VisionPro,supports-fmd-v2,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
157,VisionPro,supports-fsm-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
158,VisionPro,supports-fsm-v2,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
159,VisionPro,supports-fsm-v3,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
160,VisionPro,supports-gft-calls,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
